Named,isDog,AgeuponOutcome,MaleuponOutcome,OutcomeType
True,True,365.0,True,Return_to_owner
True,False,365.0,False,Euthanasia
True,True,730.0,True,Adoption
False,False,21.0,True,Transfer
False,True,730.0,True,Transfer
True,True,30.0,False,Transfer
True,False,21.0,True,Transfer
True,True,152.0,False,Adoption
False,True,365.0,False,Adoption
False,True,730.0,False,Adoption
True,True,1461.0,True,Adoption
True,True,730.0,True,Return_to_owner
True,True,365.0,True,Return_to_owner
True,False,91.0,True,Adoption
False,False,21.0,True,Transfer
False,True,14.0,False,Transfer
True,False,730.0,False,Transfer
True,True,365.0,True,Return_to_owner
True,True,60.0,True,Transfer
True,False,365.0,False,Transfer
True,True,730.0,False,Adoption
True,True,304.0,True,Adoption
True,True,60.0,True,Return_to_owner
True,False,30.0,False,Transfer
True,True,182.0,False,Adoption
True,True,1826.0,False,Adoption
True,False,60.0,False,Adoption
True,False,2556.0,True,Return_to_owner
False,False,1095.0,False,Euthanasia
True,True,121.0,True,Transfer
False,False,60.0,False,Adoption
True,True,1826.0,True,Return_to_owner
True,True,1095.0,True,Transfer
False,True,1095.0,True,Euthanasia
True,True,1095.0,True,Return_to_owner
False,False,60.0,True,Transfer
True,False,121.0,True,Transfer
False,False,21.0,True,Transfer
True,False,2556.0,False,Adoption
False,False,60.0,True,Transfer
True,False,60.0,False,Transfer
False,False,1461.0,True,Transfer
True,False,730.0,True,Adoption
True,True,4383.0,True,Return_to_owner
True,False,3287.0,False,Return_to_owner
False,False,21.0,False,Transfer
True,True,152.0,False,Adoption
False,True,2191.0,True,Euthanasia
False,False,365.0,False,Transfer
True,False,91.0,False,Adoption
False,False,21.0,False,Transfer
True,True,730.0,True,Adoption
True,False,60.0,False,Adoption
False,False,7.0,True,Transfer
True,False,60.0,False,Adoption
False,True,365.0,True,Transfer
True,True,1461.0,False,Return_to_owner
True,True,730.0,True,Adoption
True,False,365.0,True,Transfer
True,True,4017.0,False,Euthanasia
True,False,30.0,False,Transfer
True,True,730.0,False,Adoption
True,True,2191.0,False,Return_to_owner
True,True,182.0,True,Transfer
True,True,60.0,False,Transfer
True,True,365.0,False,Adoption
True,True,60.0,True,Adoption
True,True,730.0,True,Transfer
False,True,1095.0,False,Adoption
True,False,365.0,False,Return_to_owner
True,True,1461.0,False,Return_to_owner
True,True,730.0,False,Transfer
True,False,91.0,False,Adoption
False,False,365.0,False,Euthanasia
True,True,60.0,True,Adoption
False,False,730.0,False,Transfer
True,True,365.0,True,Adoption
False,False,730.0,True,Transfer
True,True,4383.0,True,Euthanasia
False,True,365.0,True,Adoption
True,False,60.0,True,Adoption
False,False,14.0,True,Transfer
False,True,91.0,False,Transfer
False,False,91.0,False,Adoption
True,True,152.0,True,Adoption
True,True,1095.0,False,Adoption
True,True,2556.0,False,Transfer
True,True,730.0,False,Euthanasia
True,False,121.0,False,Adoption
True,True,3287.0,False,Adoption
True,True,212.0,True,Transfer
False,False,60.0,True,Adoption
False,False,1095.0,True,Transfer
False,True,1095.0,True,Adoption
True,True,1826.0,True,Adoption
True,True,1826.0,True,Transfer
False,False,14.0,False,Transfer
True,False,1461.0,False,Transfer
True,True,1461.0,True,Return_to_owner
True,False,60.0,True,Adoption
True,True,730.0,False,Return_to_owner
True,True,730.0,True,Adoption
True,True,3287.0,True,Return_to_owner
True,True,1826.0,True,Return_to_owner
True,True,365.0,True,Euthanasia
True,True,730.0,False,Adoption
False,False,21.0,True,Transfer
True,True,152.0,True,Transfer
False,False,2191.0,True,Euthanasia
True,True,365.0,False,Adoption
True,True,91.0,True,Transfer
True,False,30.0,False,Transfer
True,True,1095.0,False,Return_to_owner
True,True,1826.0,True,Return_to_owner
True,True,2922.0,True,Adoption
False,True,60.0,False,Adoption
False,False,2556.0,False,Euthanasia
True,False,60.0,False,Adoption
True,True,1826.0,True,Adoption
True,True,365.0,True,Adoption
False,False,91.0,True,Transfer
True,True,730.0,True,Return_to_owner
True,True,3287.0,False,Return_to_owner
True,True,1095.0,False,Adoption
True,False,1095.0,False,Return_to_owner
True,True,365.0,False,Adoption
True,True,730.0,False,Transfer
True,True,365.0,False,Return_to_owner
True,False,730.0,True,Transfer
True,True,730.0,False,Return_to_owner
False,False,730.0,False,Transfer
True,True,30.0,False,Adoption
False,False,60.0,True,Adoption
False,False,304.0,True,Adoption
True,False,730.0,False,Transfer
True,False,60.0,False,Adoption
True,True,182.0,True,Adoption
True,False,60.0,False,Adoption
False,True,365.0,False,Adoption
True,True,182.0,False,Transfer
True,False,365.0,False,Adoption
False,False,21.0,True,Transfer
True,False,730.0,True,Adoption
True,True,334.0,False,Adoption
False,True,91.0,True,Transfer
True,True,730.0,False,Return_to_owner
True,True,730.0,True,Transfer
True,True,730.0,True,Adoption
True,False,121.0,False,Adoption
False,True,121.0,False,Transfer
False,False,152.0,False,Transfer
True,False,60.0,True,Adoption
True,True,2556.0,True,Transfer
True,False,1461.0,True,Adoption
False,False,21.0,False,Transfer
True,True,182.0,True,Adoption
True,True,152.0,False,Adoption
True,True,2922.0,False,Return_to_owner
False,False,60.0,True,Adoption
True,False,30.0,False,Adoption
False,True,152.0,False,Return_to_owner
True,False,30.0,True,Transfer
False,False,121.0,True,Transfer
True,True,365.0,False,Adoption
True,True,730.0,True,Adoption
True,False,4017.0,False,Transfer
False,True,60.0,True,Adoption
True,False,60.0,True,Transfer
True,False,60.0,False,Adoption
True,True,30.0,False,Adoption
True,True,2556.0,False,Return_to_owner
False,False,4.0,True,Transfer
True,True,1461.0,True,Return_to_owner
True,True,730.0,False,Transfer
True,True,365.0,False,Return_to_owner
True,True,730.0,True,Return_to_owner
False,False,28.0,False,Transfer
True,False,365.0,False,Transfer
True,True,730.0,False,Adoption
False,False,304.0,True,Transfer
True,True,1461.0,False,Transfer
True,False,121.0,False,Adoption
True,True,2191.0,False,Transfer
False,True,273.0,False,Adoption
True,True,1095.0,False,Adoption
True,False,243.0,False,Adoption
True,True,304.0,False,Adoption
False,False,365.0,True,Transfer
True,True,365.0,True,Adoption
True,True,365.0,True,Adoption
True,True,91.0,True,Adoption
True,True,2191.0,True,Return_to_owner
True,True,730.0,True,Return_to_owner
False,True,1826.0,False,Adoption
False,False,4383.0,True,Euthanasia
True,True,730.0,False,Adoption
True,True,2191.0,True,Adoption
True,False,91.0,True,Adoption
True,True,243.0,False,Return_to_owner
True,False,365.0,True,Transfer
True,False,5478.0,False,Transfer
False,True,21.0,False,Transfer
True,True,152.0,True,Adoption
False,True,730.0,True,Adoption
True,True,730.0,False,Adoption
True,True,730.0,True,Return_to_owner
False,True,730.0,False,Adoption
False,False,21.0,False,Transfer
True,True,365.0,False,Transfer
False,False,730.0,True,Transfer
True,False,28.0,True,Transfer
True,True,1461.0,True,Transfer
False,False,21.0,True,Transfer
True,False,60.0,True,Adoption
True,True,365.0,False,Transfer
True,True,60.0,False,Adoption
True,True,365.0,False,Adoption
False,True,1095.0,False,Adoption
True,True,3287.0,True,Euthanasia
True,False,730.0,False,Return_to_owner
