k,ari,aic,bic,pca_ari,pca_aic,pca_bic,ica_ari,ica_aic,ica_bic,rca_ari,rca_aic,rca_bic,rf_ari,rf_aic,rf_bic
2,0.08018021803926091,-138405.30055353558,-138168.92688168705,-0.008399369385777879,118094.22872997484,118249.09423911698,-0.010907535467836266,-398041.2122059552,-397951.55322697817,0.06479080474723105,68088.88253263112,68243.74804177326,0.08018021803926091,-175504.56678117206,-175349.70127202992
3,0.08693780971693758,-163271.67144457565,-162913.03552866756,0.08669074693541039,-29532.143636404664,-29295.76996455614,-0.0025384439527801187,-410173.44032068166,-410034.8764440808,0.10433664343110316,-24606.981677045947,-24370.608005197424,0.08669074693541039,-200300.40730029935,-200064.03362845082
4,0.03167114507069132,-445528.49462297873,-445047.59646301105,0.02145472834816151,-143169.2765569689,-142851.39472241397,0.014184331508448434,-417034.7725151013,-416847.3037408766,0.11848406330201805,-92972.07131938582,-92654.18948483092,0.12327166305991694,-455056.47714582295,-454738.59531126806
5,0.03643756998137175,-517197.3038588712,-516594.14345484396,0.0410991249030178,-244883.06836033482,-244483.67836307353,0.005486346767196826,-419985.9524110803,-419749.5787392318,0.12239498049306259,-166926.2754261026,-166526.8854288413,0.11770341395176598,-489294.12238560576,-488894.7323883445
6,0.047871404303867424,-566163.3962038395,-565437.9735557527,0.06475692798221053,-315874.1890073817,-315393.290847414,0.02639048441679279,-420798.2521919254,-420512.97362245305,0.12095157125674026,-179989.01768437529,-179508.1195244076,0.11625196600972018,-502100.63936562143,-501619.74120565376
7,0.061127246062836066,-676209.655155869,-675361.9702637226,0.0567626807626096,-362542.2799390772,-361979.87361640314,0.011401948482035303,-421990.3815170589,-421656.1980499627,0.07073993384779577,-312351.74219362845,-311789.3358709544,0.07420950217947815,-511188.6418793188,-510626.23555664474
8,0.05218482388829343,-692680.2814171651,-691710.3342809591,0.0533525823933959,-394913.0383293961,-394269.12384401564,0.02596465232077295,-424526.37781592814,-424143.28945120814,0.06640864670430736,-328959.97488153627,-328316.0603961558,0.06760604214398205,-512808.75866555475,-512164.8441801743
9,0.06052160747599113,-755832.0686528891,-754739.8592726236,0.058916526006980524,-414186.020629438,-413460.59798135114,0.04677484706058156,-429446.33773961687,-429014.344477273,0.053817793220284016,-367535.47608070914,-366810.0534326223,0.07438284428016648,-515602.3972643376,-514876.9746162507
10,0.06018923757185615,-761995.1952646285,-760780.7236403034,0.04739307440007501,-435240.5105434183,-434433.57973262505,0.03823508676878543,-428077.16897245304,-427596.27081248537,0.04981814741828214,-429082.59351191286,-428275.6627011196,0.061909784380878026,-521337.3082043119,-520530.37739351863
11,0.05785268739090332,-766735.9814603641,-765399.2475919793,0.055954942709968265,-427568.2752947915,-426679.83632129186,0.034490693666535205,-429414.86685583036,-428885.0637982389,0.03969576513053552,-431632.82269938843,-430744.3837258888,0.045604364515564724,-541409.3941282046,-540520.955154705
12,0.05663160152022634,-775858.4177204815,-774399.4216080372,0.045382605423085094,-454925.1070486424,-453955.1599124364,0.04636700127643807,-431242.7984243622,-430664.09046914685,0.039039424647474584,-439650.3424289618,-438680.3952927558,0.03690628339152386,-561139.3942386978,-560169.4471024919
13,0.045303229186701516,-780694.0686995935,-779112.8103430896,0.04920383079933825,-464397.44559562195,-463345.9902967096,0.042208023036847564,-431876.1914318933,-431248.57857905416,0.04239893911275433,-461351.97587286157,-460300.5205739492,0.038800262572487296,-558470.1019922983,-557418.6466933859
14,0.045318049055588935,-782306.2053546959,-780602.6847541324,0.042981106046795246,-480493.8509052211,-479360.8874436023,0.03929472421389281,-432539.67039169034,-431863.15264122735,0.037437874503969425,-463319.17335097975,-462186.209889361,0.036981954334290204,-563671.7459222598,-562538.782460641
15,0.03535439343657692,-782126.1928980008,-780300.4100533777,0.035075710067672274,-473954.2303209545,-472739.7586966294,0.038063027002431304,-432566.17287073773,-431840.7502226509,0.03389857725294442,-471970.0539795967,-470755.58235527156,0.03656766525439748,-563819.209576006,-562604.7379516809
16,0.04201714592051236,-784011.1651362057,-782063.120047523,0.03862637208871395,-476035.0496214807,-474739.06983444915,0.0344024286050931,-432393.39512187475,-431619.0675761641,0.033885078399206736,-472140.6853479388,-470844.70556090726,0.036787381607501,-567329.842249569,-566033.8624625375
17,0.02964219100645841,-788591.0375151461,-786520.7301824038,0.029038594744854727,-489756.4895537078,-488379.0016039699,0.03374898000398642,-432787.57941701834,-431964.3469736838,0.029601401211380874,-476059.0237255865,-474681.53577584855,0.029555809736541528,-579273.409194106,-577895.9212443681
18,0.0294150711379938,-798984.155844938,-796791.5862681362,0.030531971693074512,-484332.4898938341,-482873.4937813898,0.035555292057454224,-432844.15266975324,-431972.0153287949,0.027478133222040804,-489413.5890654168,-487954.59295297245,0.027360280144922495,-599604.2911021737,-598145.2949897294
19,0.027743870559343263,-796673.2742838355,-794358.4424629741,0.02427083595040585,-500582.31469799264,-499041.8104228419,0.03317700745816193,-433203.0552064205,-432282.0129678383,0.024585139741257523,-504836.48416111537,-503295.97988596465,0.026873196055227408,-591058.9215674847,-589518.417292334
20,0.023115468589634213,-804746.1855462494,-802309.0914813284,0.021577340688989945,-501304.18451706675,-499682.17207920965,0.029277744431183663,-432891.2674136651,-431921.32027745905,0.023179039819127008,-492158.1385192627,-490536.1260814056,0.02835982327882228,-594583.1173023097,-592961.1048644526
21,0.025752269068419785,-801523.7936545707,-798964.4373455902,0.024150015737029493,-502545.74496433575,-500842.22436377226,0.02839613011972736,-433087.0888453481,-432068.23681151826,0.02530286872407187,-495967.6776783258,-494264.1570777623,0.026840918772327388,-602553.9890350862,-600850.4684345227
22,0.02331675029969283,-807814.4656258278,-805132.8470727877,0.020313731160974773,-510648.1429330199,-508863.11416975,0.0322955409231877,-433477.2241359562,-432409.46720450255,0.02244080429247873,-512795.7450784407,-511010.7163151708,0.026777091171549985,-593258.956064955,-591473.9273016851
23,0.02196239261097919,-812450.6851954673,-809646.8043983676,0.02104108119362634,-515693.21376621,-513826.67684023373,0.03234618376459876,-433797.09383389243,-432680.4320048149,0.022487423555957405,-509374.77820055105,-507508.2412745748,0.02967895256646414,-609326.2815300194,-607459.7446040431
24,0.01981095367324319,-815722.104077626,-812795.9610364668,0.01865719487261176,-519349.5193908509,-517401.47430216824,0.02874555093827112,-433510.3121206883,-432344.745393987,0.020400295065773552,-517676.3258343023,-515728.2807456196,0.02626849185158344,-614765.5917637929,-612817.5466751102
25,0.02061563103762422,-814354.1197284695,-811305.7144432507,0.02094442661392104,-525349.4639695951,-523319.91071820614,0.02876068685171575,-433710.2351481469,-432495.7635238218,0.020036120926580706,-521553.1026212052,-519523.5493698162,0.02966394703626496,-610802.733229064,-608773.179977675
26,0.023790971012893215,-817836.9206862363,-814666.2531569579,0.017723651843051125,-523225.43689773424,-521114.37548363884,0.031879519629056566,-434013.18008066044,-432749.8035587114,0.019217553386086734,-524998.2655054617,-522887.2040913663,0.02500972129704715,-615429.5375728613,-613318.4761587658
27,0.019635919624406625,-824148.246599946,-820855.316826608,0.01700962202636634,-530913.8684772123,-528721.2989004104,0.027153812410406375,-434183.4777272257,-432871.19630765286,0.01788615089664713,-537800.5670798923,-535607.9975030904,0.025413946816326825,-614854.0066664786,-612661.4370896767
28,0.01939653146646609,-827840.9580739618,-824425.7660565642,0.02008724518681288,-524576.3054900307,-522302.2277505225,0.028282888998616775,-434140.11443546484,-432778.9281182682,0.017463840213354977,-534910.4748607691,-532636.3971212609,0.025112197621489488,-627749.8012304015,-625475.7234908933
29,0.019831889248355716,-826057.3818695939,-822519.9276081367,0.017496419924712982,-535839.1861903917,-533483.600288177,0.02801999738919274,-434180.49724092346,-432770.40602610295,0.01590713587832959,-538732.1043838976,-536376.518481683,0.024706530223565275,-624966.7325460261,-622611.1466438115
30,0.019144087301652728,-835206.5972019666,-831546.8806964498,0.016302976400967034,-542980.6055828054,-540543.5115178843,0.03135497568351828,-434303.6725173082,-432844.6764048639,0.01571772091809514,-535132.4250885593,-532695.3310236383,0.024781425447990883,-627064.9761269019,-624627.8820619809
31,0.016409349668418238,-833043.0740431037,-829261.0952935274,0.015473041015540664,-549382.0305229907,-546863.4282953634,0.030070099051297476,-434370.0020725695,-432862.1010625014,0.015165940596633558,-545944.105927662,-543425.5037000347,0.02931521078521685,-628087.3776937033,-625568.775466076
32,0.01857321885761251,-837000.2053348626,-833095.9643412266,0.015658538441175367,-550246.9965584705,-547646.8861681368,0.029736558158950495,-434257.083384408,-432700.277476716,0.015221232051481367,-548496.1693896892,-545896.0589993555,0.024953928264152814,-631720.6493495469,-629120.5389592132
33,0.0147709328418403,-845613.2719363349,-841586.7686986394,0.014838485646959231,-547146.7159905045,-544465.0974374644,0.03144589221051935,-434384.4272057323,-432778.7164004165,0.014333882675500235,-548914.5967427967,-546232.9781897566,0.025118456933352237,-633135.8681821458,-630454.2496291057
34,0.016494808953483004,-845431.3595212285,-841282.5940394733,0.015563476414314556,-558050.4667304405,-555287.340014694,0.03015484700425466,-434391.8197399974,-432737.20403705776,0.014227033655172607,-549076.0784328678,-546312.9517171213,0.024900360533747987,-633865.002926825,-631101.8762110785
35,0.014235458398172212,-849095.7104700126,-844824.6827441979,0.013834543436706277,-563216.9790791845,-560372.3442007316,0.031035453663765648,-434385.7053957079,-432682.1847951444,0.014577783713291884,-555841.0876853359,-552996.452806883,0.024687100645135438,-634681.92048186,-631837.2856034072
36,0.014003815652689485,-854829.5016233479,-850436.2116534736,0.014769405189667243,-560803.518514642,-557877.3754734828,0.031652862551663455,-434256.0993985167,-432503.6739003294,0.015021029396463173,-560477.8293753518,-557551.6863341925,0.024877795973108626,-637345.2352584987,-634419.0922173394
37,0.014467619784395374,-856574.312526028,-852058.7603120942,0.014739261706915864,-558011.5696328513,-555003.9184289856,0.030782945255151725,-434535.8932501275,-432734.5628543163,0.015387014278268303,-561679.5120796914,-558671.8608758257,0.025175852914517478,-637106.3287397022,-634098.6775358366
38,0.014328360292317991,-861098.2010424562,-856460.3865844628,0.014986163392867968,-560747.1182767865,-557657.9589102145,0.03172092706691733,-434313.7095658667,-432463.4742724317,0.013358144430243914,-563753.8960314066,-560664.7366648345,0.02365099441477319,-638226.972623439,-635137.813256867
39,0.014025630471103757,-865619.934775948,-860859.858073895,0.013661789873743085,-568345.8283379674,-565175.160808689,0.026726153926746425,-434431.2629608341,-432532.1227697753,0.01366701041311591,-563529.7115471109,-560359.0440178325,0.024785840170577566,-642156.6629502494,-638985.995420971
40,0.01374295554105939,-869808.6157232372,-864926.2767771246,0.014731706016787265,-567239.267585027,-563987.0918930422,0.03189139665883869,-434383.95187313145,-432435.9067844488,0.014422954217450235,-568042.7798591816,-564790.6041671968,0.024007356087196913,-644818.8309306583,-641566.6552386734
41,0.014596751916747993,-863825.0692604849,-858820.4680703128,0.014978832165350073,-561591.2473447535,-558257.5634900623,0.031553510545229896,-434487.4581077234,-432490.5081214169,0.014408726511519874,-568601.0210575338,-565267.3372028426,0.024856880496502965,-642945.9767111561,-639612.2928564649
