k,ari,aic,bic,pca_ari,pca_aic,pca_bic,ica_ari,ica_aic,ica_bic,rca_ari,rca_aic,rca_bic,rf_ari,rf_aic,rf_bic
2,0.004017273,36108.71221,36942.16793,0.080397079,16720.15318,16822.31872,0.009170704,-30993.044,-30837.10712,0.041209925,21049.04211,21269.50459,0.078554712,20815.8928,21036.35528
3,0.12550398,34251.29415,35504.16631,0.052378396,16366.60218,16522.53906,0.097792433,-31578.74472,-31342.15084,0.061745798,20456.30051,20789.6828,0.209660784,20023.17893,20356.56122
4,0.111928213,33296.03457,34968.32315,0.063445087,16329.35081,16539.05902,0.076680424,-31801.35056,-31484.09967,0.063408616,20330.68182,20776.98391,0.152308958,19719.12391,20165.42601
5,0.06898332,32647.87339,34739.5784,0.058280446,16232.04433,16495.52388,0.084485538,-31939.10122,-31541.19333,0.062245627,20220.75406,20779.97596,0.116615767,19584.68682,20143.90873
6,0.071448051,32298.7901,34809.91154,0.057630217,16190.97633,16508.22722,0.064081699,-32068.62833,-31590.06343,0.030538201,20182.14365,20854.28536,0.094569103,19360.64494,20032.78666
7,0.041167247,31694.40765,34624.94552,0.047230956,16148.76841,16519.79064,0.047462984,-32139.95975,-31580.73784,0.03401399,20109.42481,20894.48633,0.079218351,19272.89204,20057.95356
8,0.066004452,31202.0333,34551.9876,0.046126161,16126.66211,16551.45568,0.053848691,-32187.53745,-31547.65853,0.0285991,20037.70866,20935.68999,0.078435019,19114.15597,20012.1373
9,0.043931091,31107.15396,34876.52469,0.038012499,16107.26374,16585.82864,0.047953325,-32260.09375,-31539.55783,0.030834837,19992.72236,21003.6235,0.057471755,19011.58942,20022.49055
10,0.046900237,30717.07392,34905.86108,0.044410803,16119.89773,16652.23397,0.046100441,-32261.85877,-31460.66585,0.030639258,19979.19416,21103.0151,0.052060446,19025.55758,20149.37853
11,0.046896901,30241.65481,34849.8584,0.036068389,16096.20285,16682.31043,0.033020782,-32290.47309,-31408.62316,0.032887159,19871.20232,21107.94307,0.064576606,18958.29743,20195.03818
12,0.048213181,30333.3699,35360.98992,0.031114862,16074.05726,16713.93618,0.037321835,-32307.1723,-31344.66537,0.02596833,19881.65761,21231.31817,0.047613436,18860.46911,20210.12967
13,0.042664319,30149.25006,35596.28651,0.037893596,16066.28657,16759.93682,0.036873778,-32338.00089,-31294.83695,0.024285517,19817.21166,21279.79203,0.045047387,18791.59886,20254.17923
14,0.034007493,29806.64261,35673.09549,0.028314601,16033.75971,16781.1813,0.037802055,-32380.56066,-31256.73971,0.024437434,19816.74571,21392.24588,0.051466765,18711.94116,20287.44134
15,0.030428684,29499.52092,35785.39023,0.028444891,16091.43966,16892.63259,0.025005651,-32360.57196,-31156.09401,0.023872701,19825.5013,21513.92128,0.042653787,18569.50816,20257.92814
16,0.036032874,29603.03775,36308.32349,0.029071576,16055.60401,16910.56827,0.036558831,-32416.91485,-31131.77989,0.026942284,19719.84286,21521.18265,0.035619109,18621.75533,20423.09512
17,0.031291515,29339.30423,36464.0064,0.024308243,16034.35439,16943.08999,0.029677389,-32459.79892,-31094.00695,0.019240361,19692.06029,21606.31989,0.038932649,18621.59469,20535.8543
18,0.025718413,29037.55921,36581.67781,0.02227195,15901.49725,16864.00418,0.031506701,-32489.78577,-31043.3368,0.028310712,19724.58344,21751.76285,0.030159457,18510.41469,20537.5941
